Date,Value
1996-09-30,998.97619628906
1996-10-31,1002.7174072266
1996-11-30,1044.3143310547
1996-12-31,1036.5476074219
1997-01-31,1086.1363525391
1997-02-28,1178.1579589844
1997-03-31,1254.3421630859
1997-04-30,1240.0227050781
1997-05-31,1310.125
1997-06-30,1354.9761962891
1997-07-31,1517.0217285156
1997-08-31,1650.625
1997-09-30,1638.2857666016
1997-10-31,1276.6739501953
1997-11-30,1171.1500244141
1997-12-31,1101.2619628906
1998-01-31,1096.25
1998-02-28,1043.1999511719
1998-03-31,1046.75
1998-04-30,1096.1750488281
1998-05-31,1060.3684082031
1998-06-30,1007.5952148438
1998-07-31,1043.5
1998-08-31,1029.0500488281
1998-09-30,999.63635253906
1998-10-31,941.36364746094
1998-11-30,965.95001220703
1998-12-31,961.57891845703
1999-01-31,931.75
1999-02-28,1017.6
1999-03-31,1028.7954545454
1999-04-30,1018.175
1999-05-31,1039.9210526316
1999-06-30,999.90909090909
1999-07-31,1071.2272727273
1999-08-31,1129.6904761905
1999-09-30,1192.9318181818
1999-10-31,1147.9761904762
1999-11-30,1146.3863636364
1999-12-31,1185.2352941177
2000-01-31,1178.575
2000-02-29,1098.25
2000-03-31,1113.0
2000-04-30,1132.52
2000-05-31,1154.0739130435
2000-06-30,1116.1909090909
2000-07-31,1135.9142857143
2000-08-31,1172.552173913
2000-09-30,1221.6714285714
2000-10-31,1091.6136363636
2000-11-30,1058.6818181818
2000-12-31,1059.33
2001-01-31,1032.7
2001-02-28,1021.58
2001-03-31,1005.6227272727
2001-04-30,970.13888888889
2001-05-31,937.9619047619
2001-06-30,896.92857142857
2001-07-31,853.30454545454
2001-08-31,830.03181818182
2001-09-30,799.51
2001-10-31,761.73913043478
2001-11-30,774.34545454545
2001-12-31,757.97058823529
2002-01-31,794.19545454545
2002-02-28,773.47
2002-03-31,819.995
2002-04-30,807.57619047619
2002-05-31,768.25
2002-06-30,769.42222222222
2002-07-31,795.01304347826
2002-08-31,748.80952380952
2002-09-30,756.17619047619
2002-10-31,755.08695652174
2002-11-30,764.56666666667
2002-12-31,794.26190476191
2003-01-31,782.31818181818
2003-02-28,785.635
2003-03-31,790.30476190476
2003-04-30,756.725
2003-05-31,776.1
2003-06-30,790.64285714286
2003-07-31,828.4847826087
2003-08-31,815.195
2003-09-30,818.92045454545
2003-10-31,900.08043478261
2003-11-30,914.2125
2003-12-31,976.75714285714
2004-01-31,1015.8880952381
2004-02-29,1085.7875
2004-03-31,1101.7956521739
2004-04-30,1028.9125
2004-05-31,1030.9578947368
2004-06-30,1018.8409090909
2004-07-31,988.08409090909
2004-08-31,976.77380952381
2004-09-30,980.00227272727
2004-10-31,1066.9285714286
2004-11-30,1100.2045454545
2004-12-31,1182.1214285714
2005-01-31,1245.525
2005-02-28,1323.08
2005-03-31,1373.9285714286
2005-04-30,1297.7857142857
2005-05-31,1245.5075
2005-06-30,1273.0977272727
2005-07-31,1196.8333333333
2005-08-31,1300.7227272727
2005-09-30,1396.6477272727
2005-10-31,1483.2023809524
2005-11-30,1610.6363636364
2005-12-31,1819.325
2006-01-31,2091.75
2006-02-28,2219.725
2006-03-31,2427.6456521739
2006-04-30,3068.3388888889
2006-05-31,3544.6428571429
2006-06-30,3197.5909090909
2006-07-31,3320.7380952381
2006-08-31,3339.9659090909
2006-09-30,3394.0595238095
2006-10-31,3829.6022727273
2006-11-30,4378.6136363636
2006-12-31,4381.447368421
2007-01-31,3784.8636363636
2007-02-28,3321.375
2007-03-31,3256.1818181818
2007-04-30,3566.8552631579
2007-05-31,3847.5238095238
2007-06-30,3628.6547619048
2007-07-31,3546.2954545455
2007-08-31,3244.1704545455
2007-09-30,2887.6
2007-10-31,2979.9891304348
2007-11-30,2554.6022727273
2007-12-31,2378.5972222222
2008-01-31,2364.4090909091
2008-02-29,2458.4761904762
2008-03-31,2511.1842105263
2008-04-30,2278.5113636364
2008-05-31,2178.325
2008-06-30,1906.1738095238
2008-07-31,1856.4456521739
2008-08-31,1734.65
2008-09-30,1744.5227272727
2008-10-31,1303.0043478261
2008-11-30,1169.3625
2008-12-31,1112.9047619048
2009-01-31,1202.5238095238
2009-02-28,1118.0025
2009-03-31,1223.2181818182
2009-04-30,1388.1375
2009-05-31,1492.5184210526
2009-06-30,1556.7727272727
2009-07-31,1580.8586956522
2009-08-31,1818.0125
2009-09-30,1879.1477272727
2009-10-31,2070.8445454545
2009-11-30,2196.5476190476
2009-12-31,2374.0380952381
2010-01-31,2414.6625
2010-02-28,2158.8
2010-03-31,2277.2630434783
2010-04-30,2367.5
2010-05-31,1969.7894736842
2010-06-30,1746.5113636364
2010-07-31,1847.0272727273
2010-08-31,2047.4761904762
2010-09-30,2150.9431818182
2010-10-31,2373.5619047619
2010-11-30,2283.2954545455
2010-12-31,2287.3214285714
2011-01-31,2375.8125
2011-02-28,2473.45
2011-03-31,2341.4782608696
2011-04-30,2371.4777777778
2011-05-31,2159.6
2011-06-30,2234.4659090909
2011-07-31,2397.7547619048
2011-08-31,2199.2386363636
2011-09-30,2075.2204545455
2011-10-31,1871.4166666667
2011-11-30,1935.3181818182
2011-12-31,1911.15
2012-01-31,1989.2261904762
2012-02-29,2057.7857142857
2012-03-31,2035.925
2012-04-30,2002.6842105263
2012-05-31,1928.0113636364
2012-06-30,1855.9342105263
2012-07-31,1847.75
2012-08-31,1816.3181818182
2012-09-30,2009.85
2012-10-31,1903.9586956522
2012-11-30,1912.3977272727
2012-12-31,2040.4289473684
2013-01-31,2031.4090909091
2013-02-28,2128.6875
2013-03-31,1929.15
2013-04-30,1855.6
2013-05-31,1831.0119047619
2013-06-30,1839.0125
2013-07-31,1837.6195652174
2013-08-31,1896.3928571429
2013-09-30,1846.880952381
2013-10-31,1884.8369565217
2013-11-30,1866.4166666667
2013-12-31,1974.975
2014-01-31,2036.9318181818
2014-02-28,2034.525
2014-03-31,2007.9047619048
2014-04-30,2027.2125
2014-05-31,2058.975
2014-06-30,2128.0952380952
2014-07-31,2310.6195652174
2014-08-31,2326.9875
2014-09-30,2294.5909090909
2014-10-31,2276.8260869565
2014-11-30,2253.225
2014-12-31,2175.7619047619
2015-01-31,2113.0476190476
2015-02-28,2097.7625
2015-03-31,2028.7272727273
2015-04-30,2212.725
2015-05-31,2281.8026315789
2015-06-30,2082.0909090909
2015-07-31,2000.6847826087
2015-08-31,1807.6375
2015-09-30,1720.2272727273
2015-10-31,1724.3409090909
2015-11-30,1583.3095238095
2015-12-31,1527.7857142857
2016-01-31,1520.3625
2016-02-29,1709.8452380952
2016-03-31,1801.6904761905
2016-04-30,1855.3738095238
2016-05-31,1869.025
2016-06-30,2026.1931818182
2016-07-31,2183.25
2016-08-31,2279.1363636364
2016-09-30,2292.3068181818
2016-10-31,2311.5
2016-11-30,2566.2045454545
2016-12-31,2664.8125
2017-01-31,2714.7976190476
2017-02-28,2845.55
2017-03-31,2776.8804347826
2017-04-30,2614.9166666667
2017-05-31,2590.2142857143
2017-06-30,2573.3977272727
2017-07-31,2787.1904761905
2017-08-31,2980.7272727273
2017-09-30,3116.8571428571
2017-10-31,3264.6022727273
2017-11-30,3229.3068181818
2017-12-31,3195.9473684211
2018-01-31,3441.5227272727
2018-02-28,3532.9
2018-03-31,3269.1785714286
2018-04-30,3188.05
2018-05-31,3059.869047619
2018-06-30,3088.5714285714
2018-07-31,2656.125
2018-08-31,2512.0
2018-09-30,2434.675
2018-10-31,2673.6739130435
2018-11-30,2595.6931818182
2018-12-31,2616.2894736842
2019-01-31,2569.7045454545
2019-02-28,2707.1875
2019-03-31,2850.5952380952
2019-04-30,2932.65
2019-05-31,2742.8095238095
2019-06-30,2601.225
2019-07-31,2446.5108695652
2019-08-31,2273.0119047619
2019-09-30,2331.5595238095
2019-10-31,2451.652173913
