,VP1,VP0
150,-8568196.440935848,-8057329.7870749105
151,556571107.2524054,523386338.3039174
152,15053431.883926775,14155892.194135856
153,269953146.2607667,253857569.84860787
154,3676049.57400059,3456870.291844509
155,199894716.19460866,187976275.07449964
156,268596871.88663214,252582161.4252026
157,139942870.43314296,131598973.73998243
158,90555384.42370579,85156147.07562083
159,50868848.31556655,47835864.827865995
160,17772622.13647928,16712954.554884208
161,276293993.55775356,259820353.04965752
162,-9093421.941188492,-8551239.456080437
163,179763496.88892752,169045351.38712376
164,2904627.0261207926,2731442.727677432
165,45757209.783715144,43029000.54932622
166,392092556.83129746,368714589.96359265
167,22830971.893641986,21469707.326927166
168,4823489.446200181,4535895.676577797
169,20066735.552575126,18870284.687294
170,88248159.96657082,82986487.62954132
171,191636217.77248892,180210177.99773973
172,8465053.745632883,7960336.829815751
173,237361939.54822642,223209567.96724758
174,209095795.12929127,196628752.6273542
175,116380667.19289933,109441633.70635545
176,37992408.76386974,35727164.862062655
177,95914461.51304413,90195696.73590386
178,54119985.405282035,50893157.44427658
179,68117221.71095844,64055828.23501939
180,265289498.3420612,249471985.37340978
181,149328176.60759482,140424694.24271747
182,394129074.26410156,370629682.91067237
183,25036945.1703018,23544152.55166585
184,73820225.07436453,69418798.04932274
185,-11431868.641567504,-10750259.563092934
186,147127518.9328047,138355247.68456823
187,80241525.2119906,75457237.20361829
188,156295476.61720625,146976578.79507467
189,64025655.430104874,60208215.83516738
190,184509811.43416947,173508673.60759655
191,357788194.8212584,336455577.25824213
192,41084366.247851685,38634768.73270125
193,131584915.30345851,123739349.9218704
194,112045548.70893195,105364990.56072348
195,-2561015.880093245,-2408318.9126314367
196,366476787.4911749,344626124.81859106
197,133309779.52740741,125361371.54405035
198,184682269.04243365,173670848.67368582
199,68929085.44279437,64819285.73446638
200,-22007429.877193384,-20695267.844151452
201,-33294782.01906121,-31309627.500445936
202,161340085.98011565,151720410.42453337
203,-43484377.11824476,-40891682.3327365
204,155714217.03945875,146429976.00158224
205,-6007750.794492916,-5649547.108714936
206,123438996.27517939,116079119.85103826
207,34046016.77855286,32016070.944695096
208,175990864.53891563,165497656.93135646
209,219406988.4234153,206325155.53334993
210,152664888.9350805,143562459.7937853
211,75566671.0974335,71061114.6862246
212,180221675.55992904,169476211.79971015
213,109927279.50706562,103373020.17875396
214,155618461.23289233,146339929.50021505
215,167946728.12421116,157933140.82901403
216,187404945.85638833,176231189.71451977
217,131686764.15444352,123835126.1784581
218,-56472511.61394435,-53105417.588706575
219,101593886.87991716,95536494.35853362
220,393497790.0711199,370036038.14922416
221,220656543.36310467,207500207.51839125
222,168961066.7946978,158887000.9838591
223,70287478.17153738,66096686.20856798
224,237381375.74312916,223227845.30638385
225,21493951.780861795,20212405.156641554
226,360950790.1055496,339429607.2497626
227,42493656.644327484,39960032.172730744
228,268267695.6323015,252272611.84175184
229,260983788.94196406,245422997.83641282
230,58509579.580488704,55021028.244727105
231,722813043.6825163,679716333.244258
232,227636104.31595874,214063621.97250637
233,155080691.872795,145834223.88135377
234,31193825.511392284,29333937.567648273
235,93426102.49953862,87855702.62644756
236,99095459.56131737,93187032.2525041
237,241914133.04140335,227490343.3301776
238,174845786.65872565,164420852.7081835
239,20987026.50426781,19735704.586214885
240,184040493.42700177,173067338.02608532
241,-10625984.41932068,-9992425.053391403
242,-6792473.400145388,-6387481.733428572
243,175974778.61107847,165482530.10432717
244,-28492206.374666296,-26793398.669674974
245,178164706.69697112,167541886.81021607
246,132638563.2638924,124730175.60557373
247,77895605.68160571,73251189.82357171
248,30069832.680001397,28276961.226914972
249,78904035.85947506,74199493.77135614
250,513975794.1282596,483330710.77590555
251,108379296.64032972,101917333.61180702
252,99955457.57783477,93995754.0976529
253,14625022.294391284,13753025.923430251
254,110328928.15794954,103750721.09411158
255,311546226.8405998,292970721.5372137
256,587036173.6106337,552034967.9572492
257,260236153.80707887,244719939.39421907
258,134608502.00428176,126582659.52107069
259,52998923.95066365,49838937.701101355
260,3282174.4464991633,3086479.414478193
261,-1972056.1233196422,-1854475.0524500485
262,80229228.83589377,75445673.98164023
263,75096350.97524883,70618836.73939389
264,7847071.977947882,7379201.355277808
265,45345223.77125855,42641578.62303082
266,137121526.28059283,128945848.2617518
267,6107619.778241619,5743461.544863815
268,48358253.69945194,45474960.88231165
269,67221712.7641633,63213712.74883238
270,67557777.5664687,63529740.16027989
271,25330854.92167012,23820538.34775914
272,65796616.54053269,61873585.88184698
273,-740370.7995012192,-696227.2325831592
274,54845402.98874165,51575323.02527937
275,93875173.81285399,88277998.6947321
276,80189444.43566762,75408261.67028478
277,135643567.6074354,127556010.7943937
278,224751069.26387468,211350603.0749876
279,264007719.65011826,248266630.9319911
280,52070529.65422319,48965897.607958585
281,60394984.543589965,56794018.59043344
282,365776483.20375466,343967575.1886959
283,20637531.791406438,19407048.003726963
284,97822950.88769257,91990395.11760801
285,120636379.7323551,113443605.37516093
286,25867532.128029916,24325216.931012377
287,45360115.34125023,42655582.304120235
288,77860657.80866216,73218325.66836658
289,244227572.11362168,229665846.85366264
290,-37008822.805064395,-34802223.83174644
291,74322170.47804227,69890815.6647471
292,74288715.77030025,69859355.64686985
293,18118410.5623322,17038125.832510304
294,9067605.189160574,8526961.991557535
295,35946586.55652837,33803321.924531855
296,128489599.50936937,120828587.97563824
297,247934113.4705536,233151390.89879552
298,217253363.4370222,204299937.4057461
299,13476904.779532963,12673363.299528044
300,116752795.25830096,109791574.15959273
301,71850689.22020157,67566692.99852794
302,59865441.090751424,56296048.42068785
303,44285069.62708984,41644634.67764102
304,109294294.87664104,102777776.36605215
305,67086560.93695386,63086619.15910683
306,449649256.76662403,422839552.670912
307,46464999.321734935,43694589.13228872
308,77370622.87477128,72757508.3777309
309,447787055.4328552,421088382.4707961
310,148026321.0116548,139200459.9544462
311,24451078.50608346,22993217.362749353
312,87363474.11898513,82154549.93050589
313,43766566.483995356,41157046.55470918
314,117842840.91069454,110816627.37409899
315,107101626.86641698,100715843.0999639
316,-34171352.18597207,-32133933.404844724
317,154470575.04513776,145260484.4108636
318,61540861.5057772,57871574.25146422
319,-29896134.164669722,-28113619.24109564
320,539755990.873705,507573799.57360375
321,151239805.86753273,142222345.2984698
322,65596977.87649074,61685850.392175905
323,75175519.20199789,70693284.67204486
324,46393100.5001254,43626977.17672683
325,285994839.2093558,268942799.4323099
326,130995310.8795368,123184899.8319123
327,144062992.0873162,135473438.93920892
328,129351886.38645689,121639462.21126702
329,373210020.3716602,350957898.1649688
330,-11019084.503215134,-10362087.09803501
331,143255253.37451068,134713860.51033825
332,253523026.46085858,238407072.81792244
333,229692641.92666265,215997541.42255515
334,42181317.41854864,39666315.73370091
335,197184852.9246928,185427983.5881751
336,196310244.8001452,184605522.74212503
337,100283911.44796148,94304624.3680412
338,72221808.30480583,67915684.63002786
339,2493001.7091722456,2344359.9909280594
340,-30462763.72334694,-28646464.30981449
341,-188805.54165517335,-177548.27696000895
342,393725217.6275044,370249905.6576421
343,30412060.24395755,28598783.954023317
344,271695403.94238627,255495947.86802456
345,27565479.153619163,25921926.254901454
346,165343167.9614742,155484814.27671444
347,-34097312.333035134,-32064308.07393503
348,94598293.52497777,88958003.41174342
349,133685867.91472605,125715036.19058412
350,232126165.65707406,218285969.72549632
351,347087671.72506696,326393057.79168224
352,13340595.463771628,12545181.234876448
353,140230060.83859718,131869040.8217049
354,378048989.23775786,355508350.3228186
355,82929460.41419534,77984908.05240732
356,47668590.49283133,44826417.873749755
357,147906500.45252135,139087783.5275149
358,193619077.34830648,182074812.36203736
359,209811131.58949628,197301438.1578882
360,-21357008.616169687,-20083627.035409603
361,92476600.45319025,86962813.30327797
362,220932506.5199358,207759716.7603885
363,167960537.0464961,157946126.41374248
364,104971492.13629,98712714.65515664
365,211466144.02577317,198857772.80692628
366,146023701.03272265,137317243.37325877
367,42178371.575155124,39663545.53207373
368,26507754.254427478,24927266.714175854
369,94856861.44389291,89201154.58240324
370,36052186.15846617,33902625.29882561
371,91890607.19283362,86411759.06633976
372,17620742.21577206,16570130.260692464
373,302686262.55723566,284639020.1546795
374,21117586.703246817,19858480.317080956
375,62168507.14036438,58461797.39844128
376,8892841.901563741,8362618.719020789
377,-7398656.497789238,-6957522.01702105
378,36185565.25123329,34028051.85090501
379,186124482.45046115,175027072.1370393
380,159843781.0963983,150313320.6135994
381,66804009.56887857,62820914.51868858
382,83241725.58812195,78278554.85482238
383,65519780.35069838,61613255.66021066
384,20848549.184979413,19605483.782195266
385,42136.039856646676,39623.737782703436
386,69651162.21469858,65498309.69510089
387,123915951.15086313,116527636.96352844
388,141054935.11796406,132644733.13309741
389,152632747.8451495,143532235.07110587
390,136715270.6562675,128563815.05726032
391,244951665.94447434,230346767.6089446
392,49288497.812443025,46349740.49929666
393,90777090.75059381,85364634.47479893
394,250110475.66701686,235197990.56231955
395,27172840.179471392,25552697.826984853
396,-10782100.813216839,-10139233.227020629
397,62092255.49002163,58390092.145433195
398,50589342.13813135,47573023.81288174
399,350470351.97441447,329574050.49196637
400,109836670.26044877,103287813.38094264
401,-19095114.35306501,-17956595.034339305
402,219711998.46541214,206611979.7808656
403,162552276.67494643,152860325.95522913
404,-4361438.122621757,-4101393.512873997
405,24805460.622061137,23326469.94382133
406,311096914.58181274,292548198.8894921
407,68454008.33176045,64372534.42755155
408,58963948.90785589,55448306.44043208
409,186891112.80647635,175747993.23703715
410,85326892.94576615,80239397.04344381
411,37830374.13659269,35574791.32138852
412,217476711.49391398,204509968.64908707
413,84966753.48263933,79900730.38894354
414,240057821.9478245,225744712.1729703
415,307953508.4473293,289592213.921729
