,VP1,VP0
0,157439557.5155148,148052445.48000774
1,127999463.84387426,120367675.95937847
2,119308099.09499282,112194521.60137142
3,145646909.9699137,136962917.94727185
4,129841929.48947722,122100287.18395929
5,135121811.28462583,127065363.45800874
6,108875454.16957171,102383908.44666298
7,122036804.80298953,114760532.07192522
8,124805451.42263831,117364102.03348693
9,131565706.96938078,123721286.85767813
10,148997308.36134714,140113553.5499864
11,124399012.18680668,116981896.1650668
12,136464724.3782299,128328207.2484304
13,126615202.11105354,119065948.88415912
14,165320987.18242767,155463955.9954012
15,134681746.39885005,126651536.82169744
16,131225767.33837332,123401615.64873646
17,141141470.44224548,132726108.91045888
18,138591936.99755663,130328587.80918129
19,135661039.82505983,127572441.25563277
20,167553826.5439512,157563665.4525051
21,173595903.6148503,163245492.18170652
22,115601771.17718694,108709178.2693571
23,137624070.74847052,129418429.2230163
24,126972965.17537922,119402380.82929221
25,135723875.0608321,127631530.0289068
26,114654844.60996173,107818710.8659927
27,142978717.44280463,134453812.64436188
28,140044312.01386738,131694367.00922562
29,137360455.34012458,129170531.51237912
30,157867859.94674382,148455210.98157007
31,136071357.71093225,127958294.51504384
32,129318999.1293556,121608535.81058468
33,116228674.88343187,109298703.72442512
34,148170005.9318879,139335577.86353338
35,117751991.70764053,110731194.92691536
36,120741913.36034523,113542846.7091108
37,124490876.94059673,117068283.6122031
38,123389298.28306141,116032385.03175507
39,142608264.59276396,134105447.52412738
40,150177648.83356333,141223517.8827648
41,114489992.75523789,107663688.0710933
42,132384009.46892071,124490799.22236672
43,121169567.0396073,113945002.13962916
44,111942726.2389157,105268298.735769
45,134714937.61067885,126682749.05423446
46,122089059.20083573,114809670.874843
47,136884517.3425203,128722970.64804408
48,124865143.99750578,117420235.52258961
49,138704924.3907071,130434838.4880343
50,103440757.99987122,97273248.38725765
51,144097279.5783515,135505682.08684766
52,147646015.9621122,138842830.058239
53,126518851.44972776,118975342.9954104
54,122524625.39190894,115219267.04479188
55,142558790.00077337,134058922.78505339
56,150364319.9292933,141399058.97713387
57,125255548.72590286,117787362.91851391
58,115262547.46391456,108390180.29256314
59,133640953.94111635,125672800.14943871
60,136967618.49801376,128801117.0140983
61,118327057.01861769,111271972.7780758
62,165803306.49811795,155917517.70071247
63,133548221.43941538,125585596.6926394
64,136046668.14803153,127935077.03258285
65,127762307.87422194,120144660.08064197
66,138643055.38383356,130376658.33362077
67,144714198.4531657,136085818.0420063
68,136709448.74469128,128558340.26896805
69,137685184.9046661,129475899.53366116
70,165351070.3867867,155492245.5310396
71,132135197.31675476,124256822.14459398
72,128433207.35990547,120775558.12871948
