,VP1,VP0
0,248945265.5414124,234102254.4505307
1,250433897.762458,235502129.07050616
2,238893651.9968334,224649954.21684745
3,114834815.48601808,107987951.23185624
4,137590716.31158355,129387063.4974855
5,206089750.06613666,193801938.77036473
6,118159728.61113417,111114621.0913895
7,1285191.4216418022,1208563.691912345
8,43457388.74431916,40866303.10262262
9,110687880.87484734,104088271.7604565
10,258959469.1072634,243519375.2228166
11,75485126.9721957,70984432.51468842
12,71794706.96718986,67514048.60856232
13,205502671.70707363,193249864.13220334
14,214503806.18674785,201714318.63677636
15,133507266.43880334,125547083.57629855
16,194930423.1182832,183307970.98607495
17,102620269.7065396,96501680.5536559
18,-5943666.45797739,-5589283.710571478
19,92656154.64481986,87131661.82893728
20,62288252.85394577,58574403.442381196
21,86611100.7394875,81447035.7548661
22,93469471.28881702,87896485.61270273
23,86087229.3252352,80954399.4363889
24,68792505.86001688,64690849.5170891
25,48376521.11338645,45492139.12739998
26,235617694.41417736,221569320.99445537
27,178742062.7270536,168084818.79957917
28,252992845.01423937,237908502.69387743
29,166444375.17446035,156520363.5594718
30,228007174.23053446,214412567.3656715
31,119239877.6183898,112130367.73429556
32,42209857.70502247,39693154.3457615
33,175391109.2395005,164933661.19756985
34,81935826.25638694,77050517.9328117
35,135149243.13872743,127091159.72641727
36,26332656.892867025,24762609.286365394
37,177782865.80940536,167182812.64816633
38,45560972.46708227,42844463.606512025
39,100360529.1269919,94376673.8257916
40,73060308.34801117,68704190.28826694
41,79915622.07779624,75150765.58512229
42,117585777.11075042,110574890.64143343
43,87461999.84631914,82247201.20001328
44,79500695.88531967,74760578.78290257
45,19148129.7847981,18006449.49556954
46,25103476.916386295,23606717.436027225
47,134885069.45764488,126842737.0292697
48,59523443.26202707,55974441.73117143
49,83418646.26226434,78444926.88276823
50,201949002.36991382,189908077.32781664
51,110078011.77172032,103514765.24427009
52,113387392.25662325,106626828.57540216
53,138111970.84624586,129877238.96413526
54,158846867.8925355,149375846.95645544
55,107986779.14801466,101548219.42253983
56,107355257.565391,100954351.42547293
57,57782315.21366186,54337125.99221618
58,54901086.22487366,51627686.22682592
59,249152672.7354879,234297295.28256553
60,75664101.23951563,71152735.69320883
61,39055662.4095497,36727023.50554836
62,18078856.21627548,17000929.858668197
63,103251853.06811033,97095606.6461871
64,82778956.33086537,77843377.56322557
65,208558932.83935824,196123899.9958753
66,109865539.50300965,103314961.33554657
67,223050627.32582876,209751547.59428573
68,76458169.4708455,71899458.72382194
69,51445891.47314122,48378502.5993042
70,221335274.0306179,208138469.82510352
71,116285868.84190302,109352487.57361755
72,185224149.84094515,174180420.5922323
73,215954835.62862396,203078832.49036795
74,109711937.81959686,103170517.93632735
75,156834920.63929445,147483859.22656253
76,148127485.7867951,139295592.92224866
77,89654481.67561969,84308959.38595356
78,35627842.05358207,33503582.11397085
79,133987024.92233121,125998237.13546097
80,140084780.38325396,131732422.50904295
81,169323658.72334218,159227973.87907207
82,215818389.7565362,202950522.0113687
83,163759491.92623332,153995562.69619986
84,155671417.53843176,146389728.36056772
85,162151903.5019965,152483824.4692288
86,106557937.0052966,100204569.98162054
87,124769693.11044039,117330475.76032734
88,423978642.3506992,398699512.5105636
89,148504756.17102885,139650369.090795
90,79282473.86496359,74555367.94338328
91,33667889.71811365,31660489.178056337
92,106543318.96852219,100190823.52471529
93,58460498.47207937,54974873.52832963
94,104485802.4195414,98255983.50420663
95,259728008.11216262,244242091.171195
96,157248752.39762238,147873016.8487294
97,87080338.6273552,81888295.99407783
98,69597916.51172456,65448238.69222838
99,35075473.84538386,32984148.082780205
100,84620888.55337912,79575487.16931814
101,203936066.03942704,191776665.12264016
102,326609959.8841013,307136300.6987825
103,81667479.72209936,76798171.18295854
104,132468166.12643425,124569938.1576186
105,91645005.07955007,86180800.63339889
106,226549293.78983435,213041610.99441865
107,136741909.67094156,128588865.75817636
108,127058844.22840157,119483139.46464479
109,254857679.82262728,239662149.35139462
110,150021320.49451274,141076510.40091267
111,142803074.11761838,134288641.80523843
112,134091701.35451335,126096672.38269646
113,68881939.52255914,64774950.82337173
114,56743143.444438055,53359913.37719591
115,117653736.78469078,110638798.31546195
116,14033495.802725226,13196768.366311932
117,236480473.8349884,222380658.40658134
118,250719230.6628141,235770449.39825773
119,113790391.25794487,107005799.32845312
120,305788243.52216595,287556049.870322
121,141683072.6004049,133235418.80219208
122,133833084.17001584,125853474.88384528
123,166206432.86060908,156296608.2212025
124,64837067.91184939,60971248.98967455
125,85913891.2145163,80791396.36656453
126,196370715.36505684,184662387.83471045
127,80053004.62878308,75279956.89485954
128,59838852.852516286,56271045.468737036
129,91566757.82558817,86107218.76182882
130,106508116.93068877,100157720.35884413
131,112184553.47352172,105495707.3618607
132,53985291.04044204,50766494.04137053
133,79042593.09927452,74329789.73073882
134,147257557.4635397,138477532.85092512
135,77605811.15217502,72978673.88509981
136,83114526.73572198,78158940.05497636
137,88654104.94040352,83368228.70563857
138,404991076.1157669,380844053.18917716
139,402797545.9130802,378781309.13763845
140,108685349.6923465,102205138.68133816
141,44011931.07099924,41387781.62354051
142,252937852.0901315,237856788.6454721
143,121317564.11667502,114084175.09926867
144,186204266.38754508,175102099.06916296
145,99950323.39355713,93990926.03188692
146,84377993.62264019,79347074.50697277
147,125649715.30705482,118158027.87201704
148,206237024.55534777,193940432.22543162
149,129785001.62383565,122046753.562186
150,71671422.91998689,67398115.19916312
151,218383734.70352992,205362911.87637943
152,77421691.78917089,72805532.37998413
153,74529949.02077046,70086205.70429386
154,152816727.8080409,143705245.48764434
155,76188334.5195933,71645712.30177085
156,152096967.74186647,143028400.10242105
157,173901369.57272094,163532745.16175368
158,46707320.75681039,43922462.492842406
159,30095228.638332818,28300842.9869733
160,139204189.2887262,130904335.41917735
161,107141868.51560381,100753685.3974543
162,116842255.11676624,109875700.09990335
163,195641033.6805079,183976212.39364445
164,245488729.57929954,230851809.58040985
165,170754151.71925378,160573175.74338666
166,45665246.98555268,42942520.90357521
167,62915123.19115381,59163897.51799419
168,252971440.55274287,237888374.4432729
169,155626384.91708544,146347380.74589
170,312770613.9306774,294122106.27025497
171,341730677.81363636,321355467.1027561
172,177545218.1454568,166959334.39171398
173,116090389.63127783,109168663.5358073
174,232231127.27982086,218384673.15921044
175,293626075.4403015,276119033.9432321
176,75700610.45888284,71187068.10175455
177,188538524.29706073,177297180.136072
178,187688818.72235897,176498137.06038123
179,179080785.23968068,168403345.4591109
180,147482135.2222985,138688720.47689
181,95773971.8179827,90063583.54118446
182,132067904.35059331,124193541.42683141
183,9187554.707965843,8639759.689121695
184,248537961.90037933,233719235.71585268
185,121469246.03256863,114226813.19440514
186,130262333.31891015,122495625.0267411
187,103708501.3341096,97525027.90201561
188,156101001.24175176,146793698.74017587
189,195191001.7454315,183553012.97931942
190,93552570.39697637,87974630.05349225
191,112427735.07261205,105724389.60036048
192,137639271.4743748,129432723.62703215
193,149962997.1019719,141021664.4585674
194,107078145.56325956,100693761.83645952
195,39876054.713778384,37498501.07326234
196,2264955.862428295,2129911.0568431565
197,108849305.64048605,102359318.98682244
198,75421860.49295515,70924938.21023096
199,203648966.06275657,191506683.0780125
200,53073989.90191385,49909527.950656526
201,305711475.84345007,287483859.3564063
202,182236285.71256453,171370703.6573689
203,241401210.68589014,227008003.24822196
204,119328347.99979804,112213563.19372606
205,96302516.50451304,90560614.49465731
206,360101424.1683767,338630883.561191
207,198419874.32097578,186589368.57188103
208,38886286.3200013,36567746.22695838
209,48462257.51029879,45572763.612312324
210,291662039.9997315,274272101.3516111
211,129110271.83508638,121412253.58747225
212,99122392.56615825,93212359.414837
213,94722920.65570424,89075199.82520129
214,74938658.36090463,70470546.32524244
215,-2937437.0989078293,-2762296.54605163
216,79025697.4808891,74313901.48982064
217,176307072.1590658,165795011.11718765
218,85404075.85226704,80311978.02777226
219,161654394.74124786,152015978.96814308
220,155229690.87094292,145974339.0239392
221,140400872.28839904,132029667.87921335
222,24382470.215013657,22928699.744474877
223,131356738.93018402,123524778.24371564
224,172431663.3475201,162150668.1017573
225,69175420.15298407,65050933.08425394
226,70244340.61683933,66056120.66985676
227,63591992.15018608,59800409.1179735
228,209558293.10283113,197063674.8101441
229,113018052.25628425,106279509.9527721
230,91207389.3616963,85769277.13681923
231,301583106.7327238,283601638.44361615
232,183605233.26908833,172658029.64249977
233,215640498.23697907,202783237.0232996
234,124548462.6865764,117122435.88912524
235,45631726.59419376,42910999.118374266
236,129144903.39536767,121444820.28971241
237,144227889.43615055,135628504.51569653
238,108455872.67700109,101989343.91006543
239,62870860.215134874,59122273.65962441
240,121101017.52776882,113880539.79595706
241,99170554.62545083,93257649.87912783
242,201234776.59901503,189236436.26330215
243,43208768.68868066,40632506.66789224
244,98188674.12508823,92334312.62169498
245,53124167.09708297,49956713.40118337
246,123210599.17919555,115864340.61045505
247,165274327.27213508,155420078.11659038
248,126133571.07606637,118613034.42178272
249,79112780.64052846,74395792.43862785
250,101269057.01922898,95231032.02112152
251,96412731.02375662,90664257.62830755
252,122838322.27611479,115514260.19377579
253,107253165.64284372,100858346.59012276
254,234764238.29165566,220766750.99207988
255,162744367.58251813,153040963.71278676
256,151329122.52132168,142306336.57248136
257,137781573.23956332,129566540.84974763
258,55442169.67478639,52136508.33756162
259,131761061.17139171,123904993.34033681
260,87455377.28518008,82240973.4997615
261,120755569.36238801,113555688.49125132
262,159921657.8658711,150386554.09029663
263,265056805.4946595,249253166.50954115
264,107440479.33547789,101034491.96746
265,90380584.37451166,84991769.23334529
266,174352510.36060026,163956987.31509387
267,209765766.62916347,197258778.01946834
268,260793550.21494877,245244101.8257527
269,146007918.86006662,137302402.19043544
270,165667276.06615606,155789597.8918063
271,98439870.76563822,92570532.0160878
272,238936277.8457157,224690038.559482
273,129138018.86841518,121438346.24299015
274,99200326.83990227,93285646.96719418
275,59589050.27053402,56036137.014131844
276,99194451.65573063,93280122.08261003
277,26474531.811464943,24896025.1126175
278,120654274.91937084,113460433.58683665
279,161653238.253546,152014891.43439278
280,74417747.11222294,69980693.67662986
281,180855431.38732392,170072180.8278483
282,152621246.93967354,143521419.89093247
283,211862953.44915405,199230923.02690998
284,80194727.1309847,75413229.39232847
285,121531337.04624067,114285202.11877425
286,40957864.460300274,38515809.436193235
287,106897906.43684734,100524269.21429004
288,227361604.81966528,213805489.1223472
289,60024594.32549227,56445712.36780046
290,85648511.44720003,80541839.49437745
291,117112596.09194832,110129922.37491967
292,137762001.65625024,129548136.19454443
293,98113362.67203797,92263491.50803907
294,52501385.93364254,49371064.68810721
295,88925742.4583039,83623670.21883838
296,11397674.50152693,10718104.200527245
297,59772239.57418867,56208403.913377784
298,70768081.21605839,66548633.97296296
299,153196127.0417989,144062023.57605824
300,136063407.61376974,127950818.43123563
301,48497469.95747519,45605876.56688404
302,90700126.51861115,85292259.12682833
303,102810755.3890406,96680808.79542844
304,103634600.67249937,97455533.46334566
305,75865011.5692285,71341667.02727494
306,108223519.71506481,101770844.66646968
307,96574867.4751001,90816726.92193146
308,48019786.54235724,45156674.353098065
309,79627667.3785438,74879979.77954364
310,86449398.42615966,81294974.71438965
311,152216283.1998652,143140601.54416186
