Massa;Zn_5_85;Cu_1_59
109965.00; 0.03964 ;0.02371 
84524.00; 0.05400 ;0.01526 
327184.00; 0.05400 ;0.01526 
172816.00; 0.05828 ;0.01058 
120664.00; 0.05828 ;0.01058 
132507.00; 0.08547 ;0.02274 
44826.00; 0.04868 ;0.01549 
22089.00; 0.11737 ;0.03285 
61238.00; 0.05791 ;0.01296 
9516.00; 0.01137 ;0.00078 
