,VP1,VP0
0,52475823.25069763,49347026.14415582
1,58628790.07324352,55133130.979628965
2,112526996.01044267,105817732.24447338
3,40922639.46250627,38482684.67931683
4,123049652.83234419,115712990.46301787
5,198277684.96839523,186455657.05933
6,55177645.22931732,51887755.7898604
7,206587248.92496958,194269774.95992255
8,76846150.8913133,72264307.29814166
9,16691026.929186933,15695847.939583236
10,125413749.88179857,117936131.55314256
11,183472593.2038345,172533298.0544583
12,43849732.41924532,41235253.838118084
13,202691177.98932645,190606001.7704641
14,104527337.97172867,98295042.55755211
15,73635865.9552333,69245431.08320162
16,80989624.97889036,76160732.57479665
17,364262175.45096576,342543555.90442145
18,37061431.24490237,34851695.5674005
19,342491084.9916229,322070536.0729567
20,114194841.73388119,107386135.01398772
21,223675503.0559766,210339165.98847726
22,136772316.57418677,128617459.69261043
23,-9266501.772037074,-8713999.645608239
24,133401639.2072473,125447754.21976365
25,167941937.61743954,157928635.9494665
26,95343688.02856614,89658954.81712793
27,-15278335.782078415,-14367386.513891267
28,45569220.76680247,42852220.112970114
29,88262355.08959825,82999836.38833654
30,183692368.1551679,172739969.233631
31,142767018.3109223,134254735.77527145
32,93283280.8467658,87721396.5137133
33,78690116.15029255,73998328.72376178
34,156535596.0078273,147202381.40497538
35,136460719.74946025,128324441.39001502
36,75886882.98329508,71362234.38905975
37,181923843.808982,171076890.66255492
38,165145198.50950956,155298648.47469983
39,129081911.27170931,121385583.98277171
40,336334978.2338932,316281478.5165159
41,-38305356.22602618,-36021453.27223211
42,42381818.99995639,39854862.69050432
43,52462753.89699006,49334736.03226918
44,334443689.4500584,314502955.16460633
45,287080094.6280257,269963348.0240365
46,61101810.95115753,57458701.46824142
47,195181859.0533821,183544415.40741596
48,91868368.53663978,86390846.35872266
49,398101365.6781293,374365132.03976494
50,73286882.46770181,68917255.24495278
51,-9964747.283056412,-9370613.25074787
52,-18564910.948882617,-17458004.261919912
53,47549673.56506822,44714591.200440146
54,75580352.92787458,71073980.7567815
55,426428620.72538227,401003414.37277013
56,227378291.5583568,213821180.93772924
57,170142748.40522754,159998226.4914666
58,28518200.61991627,26817843.044636372
59,180983266.6096175,170192394.05492866
60,124409552.5108013,116991808.03707775
61,203913177.92885605,191755141.68344912
62,45347354.88822976,42643582.67515197
63,103260637.17827524,97103867.01614623
64,111560504.1805082,104908866.12965249
65,73932907.82345459,69524762.24808867
66,33820865.57242329,31804344.06235187
67,71435396.84382372,67176161.8456067
68,252230287.2990719,237191411.40924862
69,48117958.44780726,45248992.89685334
70,468803857.1448876,440852086.95991844
71,79231680.27940872,74507602.85387993
72,153466001.43308145,144315807.08658338
73,-3343422.7638770207,-3144075.8871336365
74,97587449.65282868,91768935.31242706
75,309201736.18764865,290766017.8397949
76,98098665.75722605,92249670.87608828
77,165251570.3829366,155398678.07488218
78,30511301.06243212,28692107.678368453
79,178200057.56160057,167575129.929295
80,-15861866.56324478,-14916125.093495227
81,314243248.95412916,295506937.5030286
82,-17271645.97937622,-16241848.396071639
83,91376094.4486073,85927923.42035969
84,185047598.13753924,174014395.53566206
85,-10406972.932797791,-9786471.818514392
86,56561979.300255425,53189550.89013869
87,64735403.53184735,60875646.20524709
88,117391575.25119904,110392267.79443696
89,291266887.8649247,273900509.60670274
90,104114261.32182135,97906595.02152902
91,194583933.3313829,182982140.1650668
92,181589975.6007369,170762928.87633833
93,37043205.18354319,34834556.209298395
94,60372102.52473646,56772500.87974979
95,-25580987.325640284,-24055756.959180392
96,196885032.47542936,185146039.5112299
97,93073747.03602943,87524355.86154297
98,131524412.90036504,123682454.88940994
99,92785099.2219661,87252918.26714854
100,84804439.03485782,79748093.7116687
101,44448602.17410656,41798416.82669853
102,231036354.5862634,217261137.10597625
103,251801749.37355453,236788424.4544134
104,83497973.68171331,78519524.51647843
105,24641769.931651883,23172539.08044849
106,335058060.64325744,315080695.3400805
107,179940824.06743813,169212105.682187
108,284130714.9382881,267189820.94732526
109,38455033.034173,36162205.81134919
110,54048292.07552237,50825738.72840222
111,102464072.7448742,96354796.61599727
112,302423304.6531788,284391740.74556357
113,96088636.26919577,90359486.56735453
114,54012200.04452922,50791798.6339609
115,57498969.44819382,54070674.31923168
116,58655372.516617395,55158128.48222896
117,-1801861.193915327,-1694427.756178125
118,208492478.68577018,196061408.07766697
119,157372587.72096416,147989468.6652035
120,396306450.06805426,372677235.74676585
121,126700432.79420531,119146097.80778213
122,46046206.14263396,43300765.90707967
123,179012924.61900762,168339530.93243802
124,155017956.25135612,145775228.78304872
125,32683935.103645626,30735201.47265248
126,248141493.57277337,233346406.25428838
127,140069295.3090623,131717860.71060619
128,56683433.86539667,53303763.89776926
129,146991483.52779463,138227323.19912484
130,166045422.84418324,156145198.20039958
131,164439023.2919943,154634577.96065378
132,32193291.498849448,30273811.80225759
133,32902041.768613644,30940303.834686376
134,80582947.25043035,75778302.43353544
135,11409481.082608411,10729206.830828395
136,193039734.75553778,181530012.25599232
137,144889846.64002815,136250993.45293537
138,22353762.117832746,21020950.512372717
139,208452111.71478856,196023447.9305174
140,22386408.026225783,21051649.954423863
141,175511401.3609846,165046781.07061028
142,-333587.4168477294,-313697.73661106813
143,283547760.91760904,266641624.7396763
144,188793483.99734044,177536938.22305432
145,58433723.06108271,54949694.56352979
146,105065020.19155012,98800666.23175381
147,516568487.4343957,485768818.39263505
148,26187493.717722528,24626101.261235382
149,43505379.90495865,40911432.85785202
150,302927516.43310666,284865889.6077438
151,88577559.35976522,83296247.04751514
152,25603251.413550824,24076693.582183875
153,261259443.27459735,245682216.66742036
154,97386894.54775065,91580338.02322689
155,65093694.65672904,61212574.72606874
156,137556553.6619485,129354937.74775423
157,214261552.48086223,201486508.9671549
158,116395262.50115216,109455358.78989524
159,339273299.58337,319044606.5909408
160,418560210.3555466,393604146.897189
161,27586363.48907957,25941565.39125277
162,122563366.46843857,115255698.23915784
163,55706235.67367176,52384829.77291149
164,114350298.82592213,107532323.19570693
165,36662021.52267366,34476100.08772809
166,59856764.9646024,56287889.59634963
167,339479207.10799235,319238237.169203
168,1775856.653366096,1669973.6997601993
169,99004740.94764355,93101722.60849267
170,24288353.844977453,22840194.930542152
171,194426496.7400156,182834090.5088826
172,18981240.088803314,17849510.362816907
173,-2541644.3088778234,-2390102.344086072
174,30064607.61457194,28272047.69865796
175,108656088.5318281,102177622.17633334
176,236812335.55592886,222692733.33947486
177,17607226.007950146,16557419.937739143
178,171265420.51791677,161053960.85949206
179,104189858.32722682,97977684.66188286
180,166215835.32310712,156305450.07510716
181,142770849.81317475,134258338.82959455
182,-7877929.416689865,-7408218.962663741
183,319058107.8195352,300034717.18504536
184,54875907.55485371,51604008.7995693
185,146671486.44295767,137926405.4901055
186,87637130.9543107,82411890.3621714
187,73219331.28109731,68853731.70277764
188,281722459.9057466,264925154.7317068
189,18807002.476457924,17685661.422884572
190,177813089.1950468,167211234.00697547
191,142425143.32418478,133933244.60346128
192,15523921.108693067,14598329.161044748
193,53018246.34087043,49857108.020986505
194,200434738.06698346,188484098.90276405
195,174774008.49457967,164353354.21605372
196,132791745.95769256,124874224.99684627
197,125490333.39447682,118008148.88166146
198,175498043.7390042,165034219.87804088
199,32494325.086027052,30556896.68547616
200,280715312.58119196,263978057.1489137
201,116441895.66696532,109499211.51882857
202,73359749.52232836,68985777.70400074
203,9576831.05220228,9005825.979202842
204,62023945.00337961,58325854.575416625
205,65875427.622337796,61947697.96381863
206,21895194.5051319,20589724.348188415
207,56026033.78664228,52685560.37348188
208,147835089.76159185,139020630.59852827
209,-3200761.797404313,-3009920.880004984
210,124667012.16618638,117233917.02286072
211,15715016.52050611,14778030.77787724
212,43025788.85315048,40460436.74752865
213,173167995.22375712,162843097.22619146
214,40783565.12082205,38351902.44952149
215,121333318.21131855,114098989.87819149
216,57390610.29277864,53968775.92595283
217,202706622.8115664,190620525.71691513
218,245916820.48065472,231254376.16426936
219,119940249.06800465,112788980.521934
220,243788067.67236847,229252547.246158
221,95134826.25518727,89462546.13303348
222,242739121.8468413,228266143.33918542
223,51002956.939482875,47961977.41382657
224,258655794.6781885,243233806.95418212
225,155207480.5315083,145953452.9447344
226,52454662.110755764,49327126.70740068
227,223099598.39080888,209797598.82843855
228,30429804.482035387,28615470.216879107
229,71105708.28576054,66866130.50381243
230,78524131.23214805,73842240.4227535
231,103316253.7442808,97156167.52267879
232,80014336.20625265,75243594.02260032
233,98714431.53993422,92828722.49063484
234,220327996.91807607,207191250.1927493
235,107375548.34383705,100973432.3948115
236,72778133.02415995,68438839.27096516
237,114079090.76090515,107277285.52986677
238,202456211.1125614,190385044.4630324
239,201057712.97602248,189069929.80963016
240,80031202.90510271,75259455.06826974
241,161609876.32024252,151974114.8953347
242,126627400.68526787,119077420.13555425
243,216476811.2932233,203569686.09059715
244,24461978.434676223,23003467.398440395
245,197551302.6277966,185772584.24347475
246,155528023.85000658,146254884.31900176
247,79416223.41403677,74681142.86383286
248,60610938.69763318,56997096.78197697
249,154168875.04482067,144976772.84845108
250,372014101.25611025,349833284.04354
251,110347815.03244969,103768481.86530116
252,72297896.00097577,67987235.70439993
253,400581877.9732697,376697747.2803951
254,192996761.9032171,181489601.59951103
255,-3295394.056850536,-3098910.824167722
256,102911899.6493707,96775922.47158737
257,220971757.05109295,207796627.03386682
258,116143782.94677635,109218873.35001528
259,86527703.34901759,81368610.81642897
260,230858841.47280312,217094207.96207306
261,108485707.16943863,102017399.56288062
262,99654052.9590133,93712320.30503002
263,359460709.591852,338028370.68954617
264,-1860818.7961406773,-1749870.0943480635
265,47539153.38844713,44704698.274543926
266,82327190.07971257,77418547.23897928
267,378513084.10281503,355944774.1847165
268,42856916.87964261,40301633.52776979
269,173921888.89470258,163552041.0480412
270,67223637.09839077,63215522.34733986
271,240420742.85506466,226085994.43189326
272,9842251.319899533,9255420.936992684
273,26833808.08551503,25233880.044474885
274,87023125.821001,81834494.42078085
275,403824691.76227164,379747212.8611829
276,37905173.05190157,35645130.456644535
277,-14226263.988009552,-13378043.019851753
278,305578247.04543626,287358574.13796705
279,114838187.9527602,107991122.62001531
280,79454687.32426468,74717313.41754776
281,11889305.65841871,11180422.541613923
282,142561293.8875246,134061277.38108107
283,6990336.459605113,6573547.486441639
284,230187577.46519387,216462967.12617663
285,212473398.1126687,199804970.78650597
286,269796550.11565363,253710310.52825284
287,123149042.56681532,115806454.22445285
