,VP1,VP0
86,139455265.65660718,131140441.71198978
87,156646089.727754,147306287.09236094
88,142275612.58860552,133792629.42754051
89,150136103.44859132,141184449.58290052
90,147609154.81375617,138808166.7039751
91,98413543.63547638,92545774.6040089
92,99771862.40855092,93823105.53194468
93,100103914.83170792,94135359.79670347
94,178845449.04471457,168182040.8535561
95,104152774.83750439,97942812.2230436
96,126570751.9063024,119024148.9603068
97,110937289.78119776,104322810.01178533
98,119773043.39304756,112631744.25001998
99,145651705.25414485,136967427.31942964
100,166156964.44503412,156250089.29028404
101,147526545.0758057,138730482.4553845
102,130087807.22002786,122331504.80087562
103,134682085.06547204,126651855.29579873
104,120708725.9129112,113511638.01652181
105,124062029.62962344,116665005.71858439
106,126476511.19797522,118935527.22157869
107,200553383.20697945,188595669.99326965
108,78285449.34412557,73617789.60638207
109,139367346.3957871,131057764.513358
110,134258356.08486488,126253390.55930163
111,159756685.03610167,150231417.53331846
112,120614358.63236928,113422897.25226913
113,123647004.51163203,116274725.88914442
114,114120311.70388374,107316048.73213486
115,135692496.2968851,127602022.17959748
116,128628593.14545836,120959294.31179588
117,145936634.4154369,137235367.98049062
118,89990608.92146802,84625045.51783563
119,126087545.78221188,118569753.32129803
120,158212595.32815477,148779392.001047
121,153005114.06418455,143882399.47840136
122,135062734.72079417,127009809.25115085
123,128393294.86238141,120738025.35768722
124,124178811.0344264,116774824.1964848
125,137241256.86995253,129058440.08323047
126,120477108.7375001,113293830.68921523
127,130853997.52435225,123052012.0866454
128,99414360.98622054,93486919.62877114
129,157510183.61778158,148118860.60032645
130,94724831.93172729,89076997.1440814
131,106242704.76320139,99908133.01830053
132,145282982.05368868,136620688.72085747
133,121500384.91431811,114256095.46415536
134,114312686.19508044,107496953.16504295
135,128993842.79783061,121302766.46769994
136,133213072.58415268,125270430.61618127
137,106846870.45352313,100476276.17964318
138,178160834.31941923,167538245.31772572
139,154971337.94884762,145731390.0312164
140,135065157.56912714,127012087.6405619
141,137408833.38273782,129216025.0822891
